Year,Months,Value
1970,Annual value,5.904349999
1970,January,3.900000003
1970,February,4.204299999
1970,March,6.096199999
1970,April,6.162799999
1970,May,6.121299999
1970,June,6.192399999
1970,July,6.230299999
1970,August,6.269499999
1970,September,6.370399999
1970,October,6.434999999
1970,November,6.434999999
1970,December,6.434999999
1971,Annual value,6.431708332
1971,January,6.434999999
1971,February,6.434999999
1971,March,6.434999999
1971,April,6.434999999
1971,May,6.434999999
1971,June,6.434999999
1971,July,6.434999999
1971,August,6.424499999
1971,September,6.410499999
1971,October,6.432399999
1971,November,6.433099999
1971,December,6.434999999
1972,Annual value,6.674841666
1972,January,6.434999999
1972,February,6.434999999
1972,March,6.434999999
1972,April,6.574899999
1972,May,6.7674
1972,June,6.771799999
1972,July,6.777799999
1972,August,6.779499999
1972,September,6.779499999
1972,October,6.781199999
1972,November,6.780599999
1972,December,6.780399999
1973,Annual value,6.756283332
1973,January,6.781399999
1973,February,6.776199999
1973,March,6.771899999
1973,April,6.766199999
1973,May,6.763199999
1973,June,6.759199999
1973,July,6.758299999
1973,August,6.746699999
1973,September,6.739199999
1973,October,6.739599999
1973,November,6.738199999
1973,December,6.735299999
1974,Annual value,6.787874999
1974,January,6.730999999
1974,February,6.718899999
1974,March,6.723399999
1974,April,6.7218
1974,May,6.7176
1974,June,6.7157
1974,July,6.734599999
1974,August,6.742799999
1974,September,6.747299999
1974,October,6.772399999
1974,November,7.0665
1974,December,7.0625
1975,Annual value,7.247899999
1975,January,7.066399999
1975,February,7.052199999
1975,March,7.026099999
1975,April,7.017699999
1975,May,7.017799999
1975,June,7.014999999
1975,July,7.271899999
1975,August,7.501799999
1975,September,7.509099999
1975,October,7.500099999
1975,November,7.497499999
1975,December,7.499199999
1976,Annual value,7.440258332
1976,January,7.485599999
1976,February,7.469299999
1976,March,7.458299999
1976,April,7.435399999
1976,May,7.430399999
1976,June,7.430899999
1976,July,7.429799999
1976,August,7.429699999
1976,September,7.428999999
1976,October,7.428299999
1976,November,7.428199999
1976,December,7.428199999
1977,Annual value,7.402824999
1977,January,7.427899999
1977,February,7.427199999
1977,March,7.426199999
1977,April,7.410899999
1977,May,7.404899999
1977,June,7.398099999
1977,July,7.396099999
1977,August,7.393999999
1977,September,7.393399999
1977,October,7.389199999
1977,November,7.386899999
1977,December,7.379099999
1978,Annual value,7.365758333
1978,January,7.371499999
1978,February,7.371499999
1978,March,7.373499999
1978,April,7.366799999
1978,May,7.363499999
1978,June,7.363199999
1978,July,7.3609
1978,August,7.361699999
1978,September,7.361299999
1978,October,7.359
1978,November,7.364999999
1978,December,7.371199999
1979,Annual value,7.377549999
1979,January,7.376199999
1979,February,7.376699999
1979,March,7.377699999
1979,April,7.379599999
1979,May,7.378299999
1979,June,7.373899999
1979,July,7.370599999
1979,August,7.371699999
1979,September,7.372199999
1979,October,7.370899999
1979,November,7.371799999
1979,December,7.410999999
1980,Annual value,7.511433332
1980,January,7.416699999
1980,February,7.417899999
1980,March,7.425899999
1980,April,7.443399999
1980,May,7.509499999
1980,June,7.520899999
1980,July,7.543199999
1980,August,7.556199999
1980,September,7.562199999
1980,October,7.566899999
1980,November,7.580199999
1980,December,7.594199999
1981,Annual value,7.899649999
1981,January,7.632299999
1981,February,7.667599999
1981,March,7.730299999
1981,April,7.790399999
1981,May,7.850399999
1981,June,7.935999999
1981,July,7.949099999
1981,August,7.951599999
1981,September,7.991999999
1981,October,8.064
1981,November,8.100899999
1981,December,8.131199999
1982,Annual value,8.539999999
1982,January,8.254199999
1982,February,8.282999999
1982,March,8.340499999
1982,April,8.379199999
1982,May,8.4161
1982,June,8.450899999
1982,July,8.4878
1982,August,8.529299999
1982,September,8.638
1982,October,8.766399999
1982,November,8.8752
1982,December,9.0594
1983,Annual value,11.11271667
1983,January,9.286499999
1983,February,9.464399999
1983,March,9.605699999
1983,April,9.8693
1983,May,10.0315
1983,June,10.3845
1983,July,11.0017
1983,August,11.0016
1983,September,11.0018
1983,October,13.7016
1983,November,14.002
1983,December,14.002
1984,Annual value,16.69870833
1984,January,14.002
1984,February,14.002
1984,March,14.002
1984,April,14.002
1984,May,14.002
1984,June,17.402
1984,July,18.002
1984,August,18.002
1984,September,18.002
1984,October,19.1482
1984,November,19.959
1984,December,19.8593
1985,Annual value,18.60734167
1985,January,18.9794
1985,February,18.2557
1985,March,18.4778
1985,April,18.4841
1985,May,18.48
1985,June,18.4727
1985,July,18.581
1985,August,18.6047
1985,September,18.6157
1985,October,18.7039
1985,November,18.7368
1985,December,18.8963
1986,Annual value,20.38568333
1986,January,19.0417
1986,February,20.4608
1986,March,20.781
1986,April,20.5045
1986,May,20.5002
1986,June,20.552
1986,July,20.4542
1986,August,20.4316
1986,September,20.5092
1986,October,20.4372
1986,November,20.436
1986,December,20.5198
1987,Annual value,20.567675
1987,January,20.4629
1987,February,20.5252
1987,March,20.5625
1987,April,20.5048
1987,May,20.4732
1987,June,20.4564
1987,July,20.45
1987,August,20.4387
1987,September,20.6005
1987,October,20.706
1987,November,20.8171
1987,December,20.8148
1988,Annual value,21.094675
1988,January,20.8461
1988,February,20.903
1988,March,21.0277
1988,April,21.0296
1988,May,20.954
1988,June,20.9487
1988,July,21.0247
1988,August,21.0591
1988,September,21.2485
1988,October,21.3616
1988,November,21.3771
1988,December,21.356
1989,Annual value,21.73668333
1989,January,21.3421
1989,February,21.3574
1989,March,21.3388
1989,April,21.4136
1989,May,21.5796
1989,June,21.68
1989,July,21.8865
1989,August,21.88
1989,September,21.9691
1989,October,21.9589
1989,November,22.099
1989,December,22.3352
1990,Annual value,24.3105
1990,January,22.4644
1990,February,22.6244
1990,March,22.7594
1990,April,22.7609
1990,May,22.9018
1990,June,23.1026
1990,July,23.5632
1990,August,24.4474
1990,September,25.3519
1990,October,25.75
1990,November,28
1990,December,28
1991,Annual value,27.47863333
1991,January,28
1991,February,28
1991,March,28
1991,April,27.9261
1991,May,27.8186
1991,June,27.7955
1991,July,27.621
1991,August,27.1995
1991,September,26.9834
1991,October,26.9946
1991,November,26.7366
1991,December,26.6683
1992,Annual value,25.51249167
1992,January,26.5446
1992,February,26.158
1992,March,25.8102
1992,April,25.6672
1992,May,26.1496
1992,June,26.1205
1992,July,25.2616
1992,August,24.6691
1992,September,24.726
1992,October,24.7849
1992,November,24.9361
1992,December,25.3221
1993,Annual value,27.11984167
1993,January,25.28
1993,February,25.3116
1993,March,25.3656
1993,April,26.078
1993,May,27.0064
1993,June,27.2063
1993,July,27.5688
1993,August,27.9489
1993,September,28.2337
1993,October,29.16
1993,November,28.4849
1993,December,27.7939
1994,Annual value,26.41716667
1994,January,27.7245
1994,February,27.6463
1994,March,27.5872
1994,April,27.5298
1994,May,27.053
1994,June,26.9756
1994,July,26.4608
1994,August,26.3132
1994,September,25.9113
1994,October,25.3945
1994,November,24.2648
1994,December,24.145
1995,Annual value,25.71446667
1995,January,24.6223
1995,February,25.0282
1995,March,25.859
1995,April,26.008
1995,May,25.8493
1995,June,25.6742
1995,July,25.514
1995,August,25.7109
1995,September,25.9692
1995,October,25.9654
1995,November,26.1671
1995,December,26.206
1996,Annual value,26.2161
1996,January,26.2166
1996,February,26.1588
1996,March,26.1957
1996,April,26.1897
1996,May,26.1759
1996,June,26.1944
1996,July,26.1995
1996,August,26.1994
1996,September,26.2356
1996,October,26.2693
1996,November,26.2658
1996,December,26.2925
1997,Annual value,29.47065833
1997,January,26.3173
1997,February,26.3411
1997,March,26.3319
1997,April,26.3642
1997,May,26.3721
1997,June,26.3761
1997,July,27.6679
1997,August,29.3305
1997,September,32.3945
1997,October,34.4639
1997,November,34.5178
1997,December,37.1706
1998,Annual value,40.89305
1998,January,42.661
1998,February,40.4143
1998,March,39.004
1998,April,38.4422
1998,May,39.2971
1998,June,40.3991
1998,July,41.7805
1998,August,43.0375
1998,September,43.7759
1998,October,42.8882
1998,November,39.9435
1998,December,39.0733
1999,Annual value,39.08898333
1999,January,38.4043
1999,February,38.7799
1999,March,38.9108
1999,April,38.2417
1999,May,37.8385
1999,June,37.899
1999,July,38.2798
1999,August,39.261
1999,September,40.1738
1999,October,40.315
1999,November,40.341
1999,December,40.623
2000,Annual value,44.19225
2000,January,40.427
2000,February,40.572
2000,March,40.938
2000,April,41.188
2000,May,41.806
2000,June,42.649
2000,July,44.336
2000,August,44.898
2000,September,45.737
2000,October,48.106
2000,November,49.754
2000,December,49.896
2001,Annual value,50.99265
2001,January,50.969
2001,February,48.29
2001,March,48.467
2001,April,50.185
2001,May,50.539
2001,June,51.488
2001,July,53.224
2001,August,51.988
2001,September,51.25
2001,October,51.733
2001,November,51.9899
2001,December,51.7889
2002,Annual value,51.60356667
2002,January,51.4097
2002,February,51.2817
2002,March,51.0661
2002,April,50.9872
2002,May,49.8383
2002,June,50.4065
2002,July,50.5963
2002,August,51.7931
2002,September,52.1292
2002,October,52.907
2002,November,53.3082
2002,December,53.5195
2003,Annual value,54.20333333
2003,January,53.5635
2003,February,54.0748
2003,March,54.5909
2003,April,52.8068
2003,May,52.5072
2003,June,53.3992
2003,July,53.7138
2003,August,54.9914
2003,September,55.0235
2003,October,54.952
2003,November,55.3718
2003,December,55.4451
2004,Annual value,56.03991667
2004,January,55.5261
2004,February,56.0696
2004,March,56.3029
2004,April,55.9039
2004,May,55.8453
2004,June,55.9848
2004,July,55.9527
2004,August,55.8342
2004,September,56.2132
2004,October,56.3414
2004,November,56.3221
2004,December,56.1828
2005,Annual value,55.08549167
2005,January,55.7662
2005,February,54.8128
2005,March,54.4402
2005,April,54.4918
2005,May,54.3411
2005,June,55.179
2005,July,56.0062
2005,August,55.9523
2005,September,56.1562
2005,October,55.7077
2005,November,54.5606
2005,December,53.6118
2006,Annual value,51.3142725
2006,January,52.6171
2006,February,51.8168
2006,March,51.2189
2006,April,51.3597
2006,May,52.12727
2006,June,53.1567
2006,July,52.3976
2006,August,51.3618
2006,September,50.4012
2006,October,50.0038
2006,November,49.8434
2006,December,49.467
2007,Annual value,46.14839118
2007,January,48.91431818
2007,February,48.38135
2007,March,48.51722727
2007,April,47.82244444
2007,May,46.81414286
2007,June,46.16015
2007,July,45.62509091
2007,August,46.07371429
2007,September,46.13145
2007,October,44.38028571
2007,November,43.21763158
2007,December,41.74288889
2008,Annual value,44.32328761
2008,January,40.93809091
2008,February,40.6711
2008,March,41.25236842
2008,April,41.81957143
2008,May,42.90195238
2008,June,44.28055
2008,July,44.95626087
2008,August,44.87694737
2008,September,44.87694737
2008,October,48.02522727
2008,November,49.1862
2008,December,48.09423529
2009,Annual value,47.67968845
2009,January,47.20715
2009,February,48.09423529
2009,March,48.4580455
2009,April,48.2165263
2009,May,47.52415
2009,June,47.90528571
2009,July,48.146
2009,August,48.16072222
2009,September,48.1394
2009,October,46.85127273
2009,November,47.03242105
2009,December,46.42105263
2010,Annual value,45.10966418
2010,January,46.0276
2010,February,46.3116
2010,March,45.74247826
2010,April,44.62657895
2010,May,45.59710526
2010,June,46.3027
2010,July,46.32027273
2010,August,45.18247619
2010,September,44.31366667
2010,October,43.4449
2010,November,43.49184211
2010,December,43.95475
2011,Annual value,43.31313692
2011,January,44.17219048
2011,February,43.7031
2011,March,43.516
2011,April,43.24015789
2011,May,43.13072727
2011,June,43.36566667
2011,July,42.8087619
2011,August,42.42090476
2011,September,43.02563636
2011,October,43.4514
2011,November,43.27452632
2011,December,43.64857143
2012,Annual value,42.22879473
2012,January,43.61914286
2012,February,42.6607619
2012,March,42.85736364
2012,April,42.69977778
2012,May,42.85145455
2012,June,42.77645
2012,July,41.90540909
2012,August,42.04521053
2012,September,41.74895
2012,October,41.45213636
2012,November,41.12215789
2012,December,41.00672222
2013,Annual value,42.44618483
2013,January,40.7295
2013,February,40.67225
2013,March,40.71273684
2013,April,41.1422381
2013,May,41.29757143
2013,June,42.90694737
2013,July,43.35586957
2013,August,43.86394118
2013,September,43.83180952
2013,October,43.18247619
2013,November,43.5546
2013,December,44.10427778
2014,Annual value,44.3951543
2014,January,44.92657143
2014,February,44.895
2014,March,44.79157143
2014,April,44.64157895
2014,May,43.92361905
2014,June,43.8175
2014,July,43.46652381
2014,August,43.76731579
2014,September,44.07514286
2014,October,44.79786364
2014,November,44.9514
2014,December,44.68776471
2015,Annual value,45.50283994
2015,January,44.60441176
2015,February,44.22136842
2015,March,44.44572727
2015,April,44.41357895
2015,May,44.6106
2015,June,44.98314286
2015,July,45.26490909
2015,August,46.142
2015,September,46.75042857
2015,October,46.36090909
2015,November,47.0066875
2015,December,47.23031579
2016,Annual value,47.49246386
2016,January,47.5111
2016,February,47.63610526
2016,March,46.72395238
2016,April,46.28452381
2016,May,46.80228571
2016,June,46.46445455
2016,July,47.0581
2016,August,46.68086364
2016,September,47.42938095
2016,October,48.3482
2016,November,49.155
2016,December,49.8156
2017,Annual value,50.40371979
2017,January,49.73628571
2017,February,49.9614
2017,March,50.27517391
2017,April,49.86264706
2017,May,49.86031818
2017,June,49.8501
2017,July,50.63819048
2017,August,50.87471429
2017,September,51.00942105
2017,October,51.3433
2017,November,51.03835
2017,December,50.39473684
2018,Annual value,52.66142995
2018,January,50.50866667
2018,February,51.78563158
2018,March,52.0676
2018,April,52.0986
2018,May,52.19480952
2018,June,53.04763158
2018,July,53.43290909
2018,August,53.27352381
2018,September,53.9419
2018,October,54.00856522
2018,November,52.80826316
2018,December,52.76905882
2019,Annual value,51.79578265
2019,January,52.46790909
2019,February,52.19005556
2019,March,52.4134286
2019,April,52.11222222
2019,May,52.262
2019,June,51.80294444
2019,July,51.14286957
2019,August,52.05473684
2019,September,52.10519048
2019,October,51.50417391
2019,November,50.72675
2019,December,50.76711111
2020,Annual value,49.624096
2020,January,50.83857143
2020,February,50.74478947
2020,March,50.90357143
2020,April,50.7349
2020,May,50.55557895
2020,June,50.0972381
2020,July,49.46754545
2020,August,48.84331579
2020,September,48.50568182
2020,October,48.48218182
2020,November,48.25205556
2020,December,48.06372222
2021,Annual value,49.25459773
2021,January,48.0614
2021,February,48.20416667
2021,March,48.57430435
2021,April,48.462
2021,May,47.95515
2021,June,48.12472727
2021,July,49.94295238
2021,August,50.23433333
2021,September,50.14213636
2021,October,50.74914286
2021,November,50.35705
2021,December,50.24780952
2022,Annual value,54.47778584
2022,January,51.23528571
2022,February,51.28066667
2022,March,52.07395652
2022,April,51.976
2022,May,52.36175
2022,June,53.56854545
2022,July,55.89252381
2022,August,55.75009524
2022,September,57.4337619
2022,October,58.8247
2022,November,57.65225
2022,December,55.68389474
2023,January,54.99128571
2023,February,54.78305263
2023,March,54.79556522
2023,April,55.3155
2023,May,55.72786364
1970,Annual value,5.904349999
1971,Annual value,6.431708332
1972,Annual value,6.674841666
1973,Annual value,6.756283332
1974,Annual value,6.787874999
1975,Annual value,7.247899999
1976,Annual value,7.440258332
1977,Annual value,7.402824999
1978,Annual value,7.365758333
1979,Annual value,7.377549999
1980,Annual value,7.511433332
1981,Annual value,7.899649999
1982,Annual value,8.539999999
1983,Annual value,11.11271667
1984,Annual value,16.69870833
1985,Annual value,18.60734167
1986,Annual value,20.38568333
1987,Annual value,20.567675
1988,Annual value,21.094675
1989,Annual value,21.73668333
1990,Annual value,24.3105
1991,Annual value,27.47863333
1992,Annual value,25.51249167
1993,Annual value,27.11984167
1994,Annual value,26.41716667
1995,Annual value,25.71446667
1996,Annual value,26.2161
1997,Annual value,29.47065833
1998,Annual value,40.89305
1999,Annual value,39.08898333
2000,Annual value,44.19225
2001,Annual value,50.99265
2002,Annual value,51.60356667
2003,Annual value,54.20333333
2004,Annual value,56.03991667
2005,Annual value,55.08549167
2006,Annual value,51.3142725
2007,Annual value,46.14839118
2008,Annual value,44.32328761
2009,Annual value,47.67968845
2010,Annual value,45.10966418
2011,Annual value,43.31313692
2012,Annual value,42.22879473
2013,Annual value,42.44618483
2014,Annual value,44.3951543
2015,Annual value,45.50283994
2016,Annual value,47.49246386
2017,Annual value,50.40371979
2018,Annual value,52.66142995
2019,Annual value,51.79578265
2020,Annual value,49.624096
2021,Annual value,49.25459773
2022,Annual value,54.47778584
